,Date,Type,Name,Lot,Brand,Batch,Changes,Amount,Units,Cost,Subset,Brew Process,Date Received,Amounts,Volume (L)
70,2022-07-20,Adjuncts,Saflager 34/70,ABG42101234,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-1.0,Each,($171.30),1.0,Boil Adjuncts,5/7/2022,1.0,450.00
71,2022-07-20,Hops,GR Magnum,19110,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.05,KG,$0 ,1.0,Boil Hops,14/10/2020,0.05,450.00
72,2022-07-18,Adjuncts,Lactic Acid,L2004240691,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.015,L,($0.29),1.0,Lauter,8/9/2021,0.015,450.00
73,2022-07-18,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.032,KG,($0.41),1.0,"Mash In, Water Additives",8/9/2021,0.032,450.00
74,2022-07-18,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.023,KG,($0.27),1.0,"Mash In, Water Additives",8/9/2021,0.023,450.00
75,2022-07-18,Adjuncts,Bioglucanase,21042020,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.01,L,($0.59),1.0,"Mash In, Water Additives",14/10/2020,0.01,450.00
76,2022-07-18,Adjuncts,MgSO4,82094,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.0115,KG,($0.17),1.0,"Mash In, Water Additives",14/10/2020,0.0115,450.00
77,2022-07-18,Grain,WEY Carahell,V048,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-0.15,KG,($0.35),1.0,"Mash In, Grain",13/01/2021,0.15,450.00
78,2022-07-18,Grain,WEY Carahell,8/7/2022,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-4.85,KG,($13.95),1.0,"Mash In, Grain",8/7/2022,4.85,450.00
79,2022-07-18,Grain,WEY Munich II,15/03/2022,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-1.5,KG,($2.99),1.0,"Mash In, Grain",15/03/2022,1.5,450.00
80,2022-07-18,Grain,WEY Munich II,W322,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-8.5,KG,($20.85),1.0,"Mash In, Grain",5/7/2022,8.5,450.00
81,2022-07-18,Grain,WEY Pilsner,W347,Froth Rookies Keith's Mid Strength Lager (450.00),18/07/2022,Subtract,-55.0,KG,($130.82),1.0,"Mash In, Grain",5/7/2022,55.0,450.00
82,2022-07-13,Grain,BLM Rolled Oats,D2222,,,Add,25.0,KG,$68.51 ,,,,25.0,
83,2022-07-13,Grain,BB Border Malt,3.4897,,,Add,50.0,KG,$171.29 ,,,,50.0,
84,2022-08-07,Grain,WEY Carafa Special III,8/7/2022,,,Add,2.5,KG,$20.59 ,,,,2.5,
85,2022-08-07,Grain,WEY Carahell,8/7/2022,,,Add,8.3,KG,$23.87 ,,,,8.3,
86,2022-08-07,Hops,US Cascade,8/7/2022,,,Add,1.0,KG,$60.23 ,,,,1.0,
87,2022-05-07,Adjuncts,Safale US-05 500g,ABH82100830,,,Add,1.0,Each,$101.05 ,,,,1.0,
88,2022-05-07,Adjuncts,Saflager 34/70,ABG42101234,,,Add,1.0,Each,$171.30 ,,,,1.0,
89,2022-05-07,Grain,WEY Munich II,W322,,,Add,25.0,KG,$61.31 ,,,,25.0,
90,2022-05-07,Grain,WEY Pilsner,W347,,,Add,75.0,KG,$178.39 ,,,,75.0,
